WU_PRTNO,WU_DESC
571-073682-30415,"CONFIG,TM,VTM, 2300"
571-073682-30698,"CONFIG,TM,VTM, 2300"
571-073682-30700,"CONFIG,TM,VTM, 2300"
571-073682-30707,"CONFIG,TM,VTM, 2300"
571-073682-30708,"CONFIG,TM,VTM, 2300"
571-073682-30737,"CONFIG,TM,VTM, 2300"
571-073682-30739,"CONFIG,TM,VTM, 2300"
571-073682-30740,"CONFIG,TM,VTM, 2300"
571-073682-30765,"CONFIG,TM,VTM, 2300"
571-073682-30771,"CONFIG,TM,VTM, 2300"
571-073682-30785,"CONFIG,TM,VTM, 2300"
571-073682-30850,"CONFIG,TM,VTM, 2300"
571-073682-30857,"CONFIG,TM,VTM, 2300"
571-073682-30867,"CONFIG,TM,VTM, 2300"
571-073682-30869,"CONFIG,TM,VTM, 2300"
571-073682-30870,"CONFIG,TM,VTM, 2300"
571-073682-30871,"CONFIG,TM,VTM, 2300"
571-073682-30896,"CONFIG,TM,VTM, 2300"
571-073682-30897,"CONFIG,TM,VTM, 2300"
571-073682-30913,"CONFIG,TM,VTM, 2300"
571-073682-30922,"CONFIG,TM,VTM, 2300"
571-073682-30983,"CONFIG,TM,VTM, 2300"
571-073682-30985,"CONFIG,TM,VTM, 2300"
571-073682-31005,"CONFIG,TM,VTM, 2300"
571-073682-31176,"CONFIG,TM,VTM, 2300"
571-073682-31179,"CONFIG,TM,VTM, 2300"
571-073682-31237,"CONFIG,TM,VTM, 2300"
571-073682-31337,"CONFIG,TM,VTM, 2300"
571-073682-31490,"CONFIG,TM,VTM, 2300"
571-073682-31503,"CONFIG,TM,VTM, 2300"
571-073682-31504,"CONFIG,TM,VTM, 2300"
571-073682-31505,"CONFIG,TM,VTM, 2300"
571-073682-31506,"CONFIG,TM,VTM, 2300"
571-073682-31528,"CONFIG,TM,VTM, 2300"
571-073682-31529,"CONFIG,TM,VTM, 2300"
571-073682-31588,"CONFIG,TM,VTM, 2300"
571-073682-31594,"CONFIG,TM,VTM, 2300"
571-073682-31620,"CONFIG,TM,VTM, 2300"
571-073682-31621,"CONFIG,TM,VTM, 2300"
571-073682-31622,"CONFIG,TM,VTM, 2300"
571-073682-31625,"CONFIG,TM,VTM, 2300"
571-073682-31626,"CONFIG,TM,VTM, 2300"
571-073682-31630,"CONFIG,TM,VTM, 2300"
571-073682-31637,"CONFIG,TM,VTM, 2300"
571-073682-31696,"CONFIG,TM,VTM, 2300"
571-073682-31755,"CONFIG,TM,VTM, 2300"
571-073682-31764,"CONFIG,TM,VTM, 2300"
571-073682-31766,"CONFIG,TM,VTM, 2300"
571-073682-31873,"CONFIG,TM,VTM, 2300"
571-073682-31880,"CONFIG,TM,VTM, 2300"
571-073682-31884,"CONFIG,TM,VTM, 2300"
571-073682-31886,"CONFIG,TM,VTM, 2300"
571-073682-32033,"CONFIG,TM,VTM, 2300"
571-073682-32106,"CONFIG,TM,VTM, 2300"
571-073682-32128,"CONFIG,TM,VTM, 2300"
571-073682-32130,"CONFIG,TM,VTM, 2300"
571-073682-32181,"CONFIG,TM,VTM, 2300"
571-073682-32313,"CONFIG,TM,VTM, 2300"
571-073682-32362,"CONFIG,TM,VTM, 2300"
571-073682-32401,"CONFIG,TM,VTM, 2300"
571-073682-32402,"CONFIG,TM,VTM, 2300"
571-073682-32405,"CONFIG,TM,VTM, 2300"
571-073682-32406,"CONFIG,TM,VTM, 2300"
571-073682-32514,"CONFIG,TM,VTM, 2300"
571-073682-32617,"CONFIG,TM,VTM, 2300"
571-073682-32618,"CONFIG,TM,VTM, 2300"
571-073682-32619,"CONFIG,TM,VTM, 2300"
571-073682-32620,"CONFIG,TM,VTM, 2300"
571-073682-32730,"CONFIG,TM,VTM, 2300"
571-073682-32732,"CONFIG,TM,VTM, 2300"
571-073682-32898,"CONFIG,TM,VTM, 2300"
571-073682-32986,"CONFIG,TM,VTM, 2300"
571-073682-33009,"CONFIG,TM,VTM, 2300"
571-073682-33071,"CONFIG,TM,VTM, 2300"
571-073682-33074,"CONFIG,TM,VTM, 2300"
571-073682-33098,"CONFIG,TM,VTM, 2300"
571-073682-33136,"CONFIG,TM,VTM, 2300"
571-073682-33550,"CONFIG,TM,VTM, 2300"
571-073682-33593,"CONFIG,TM,VTM, 2300"
571-073682-33593A,"CONFIG,TM,VTM, 2300"
571-073682-33639,"CONFIG,TM,VTM, 2300"
571-073682-33736,"CONFIG,TM,VTM, 2300"
571-073682-33737,"CONFIG,TM,VTM, 2300"
571-073682-33839,"CONFIG,TM,VTM, 2300"
571-073682-33840,"CONFIG,TM,VTM, 2300"
571-073682-33891,"CONFIG,TM,VTM, 2300"
571-073682-33894,"CONFIG,TM,VTM, 2300"
571-073682-33895,"CONFIG,TM,VTM, 2300"
571-073682-34033,"CONFIG,TM,VTM, 2300"
571-073682-34087,"CONFIG,TM,VTM, 2300"
571-073682-34138,"CONFIG,TM,VTM, 2300"
571-073682-34139,"CONFIG,TM,VTM, 2300"
571-073682-34216,"CONFIG,TM,VTM, 2300"
571-073682-34217,"CONFIG,TM,VTM, 2300"
571-073682-34303,"CONFIG,TM,VTM, 2300"
571-073682-34304,"CONFIG,TM,VTM, 2300"
571-073682-34305,"CONFIG,TM,VTM, 2300"
571-073682-34306,"CONFIG,TM,VTM, 2300"
571-073682-34307,"CONFIG,TM,VTM, 2300"
571-073682-34308,"CONFIG,TM,VTM, 2300"
571-073682-34309,"CONFIG,TM,VTM, 2300"
571-073682-34310,"CONFIG,TM,VTM, 2300"
571-073682-34344,"CONFIG,TM,VTM, 2300"
571-073682-34489,"CONFIG,TM,VTM, 2300"
571-073682-34492,"CONFIG,TM,VTM, 2300"
571-073682-34493,"CONFIG,TM,VTM, 2300"
571-073682-34497,"CONFIG,TM,VTM, 2300"
571-073682-34498,"CONFIG,TM,VTM, 2300"
571-073682-34504,"CONFIG,TM,VTM, 2300"
571-073682-34804,"CONFIG,TM,VTM, 2300"
571-073682-34948,"CONFIG,TM,VTM, 2300"
571-073682-34962,"CONFIG,TM,VTM, 2300"
571-073682-35163,"CONFIG,TM,VTM, 2300"
